days_out,query_date,wtp_J,bid_J,pacing_J,sold_J,available_J,protected_J,load_factor_J,wtp_W,bid_W,pacing_W,sold_W,available_W,protected_W,load_factor_W,wtp_Y,bid_Y,pacing_Y,sold_Y,available_Y,protected_Y,load_factor_Y,bookings_this_step,group_bookings_this_step,award_bookings_this_step
55,2026-06-16,2860.41,2097.52,0.7333,4,48,24,0.0800,698.86,649.64,0.9296,6,20,7,0.2500,417.04,384.55,0.9360,67,159,88,0.3317,1,0,0
54,2026-06-17,2882.77,2004.24,0.6952,4,48,24,0.0800,708.45,635.07,0.8964,6,20,7,0.2500,417.04,380.49,0.9668,71,155,86,0.3515,3,0,1
53,2026-06-18,2904.58,1915.34,0.6594,4,48,23,0.0800,723.46,625.72,0.8649,6,20,7,0.2500,417.04,393.14,0.9692,73,153,85,0.3614,2,0,0
52,2026-06-19,2925.86,1830.64,0.6257,4,48,23,0.0800,738.35,616.46,0.8349,6,20,7,0.2500,417.04,394.28,0.9584,74,152,83,0.3663,1,0,0
51,2026-06-20,2946.59,1767.95,0.5939,4,48,23,0.0800,753.09,607.28,0.8064,6,20,7,0.2500,417.04,390.00,0.9352,74,152,81,0.3663,0,0,0
50,2026-06-21,2966.79,1780.07,0.5640,4,48,23,0.0800,767.67,598.20,0.7793,6,20,7,0.2500,417.04,380.70,0.9499,77,149,79,0.3812,3,0,0
49,2026-06-22,2986.46,1791.88,0.5358,4,48,22,0.0800,782.07,589.24,0.7534,6,20,7,0.2500,417.04,386.83,0.9276,77,149,77,0.3812,0,0,0
48,2026-06-23,3005.61,1803.36,0.5092,4,48,22,0.0800,796.28,580.39,0.7289,6,20,7,0.2500,417.04,377.90,0.9297,79,147,76,0.3911,2,0,0
47,2026-06-24,3024.24,1814.54,0.4842,4,48,22,0.0800,810.28,571.68,0.7055,6,20,6,0.2500,417.04,378.91,0.9316,81,145,74,0.4010,1,0,1
46,2026-06-25,3042.35,1825.41,0.4607,4,48,22,0.0800,824.06,563.09,0.6833,6,20,6,0.2500,417.04,379.82,0.9220,82,144,72,0.4059,1,0,0
45,2026-06-26,3059.97,1835.98,0.5482,5,47,21,0.1000,837.62,554.65,0.7725,7,19,6,0.2917,417.04,376.07,0.9238,84,142,70,0.4158,3,0,1
44,2026-06-27,3077.08,1846.25,0.6265,6,46,21,0.1200,850.93,637.43,0.7491,7,19,6,0.2917,417.04,376.94,0.9038,84,142,68,0.4158,1,0,0
43,2026-06-28,3093.71,1856.22,0.5970,6,46,21,0.1200,864.00,627.94,0.9344,9,17,6,0.3750,417.04,368.96,0.9268,88,138,67,0.4356,6,0,0
42,2026-06-29,3109.85,1865.91,0.5692,6,46,20,0.1200,876.80,795.39,0.9072,9,17,6,0.3750,417.04,378.50,0.9179,89,137,65,0.4406,1,0,0
